Well,IdxRow,IdxCol,FSC-A,FSC-W,FSC-H,SSC-A,SSC-W,SSC-H,PE-A,APC-Cy7-A,PE-Cy5-A,Time,nbrCell
D09,D,09,116989.609375,113629.4140625,67474,29732.55859375,110149.9765625,17690,4893.60624603214,587.350036621094,1092.9599609375,11382.7998046875,1
D10,D,10,122504.046875,119886.296875,66967,74613.7578125,128725.2734375,37987,144.242210697393,617.950012207031,346.720001220703,11226.2998046875,1
D11,D,11,96606.828125,106991.5546875,59175,54169.4375,125701.0234375,28242,256.919121464542,324.700012207031,436.480010986328,10991.7998046875,1
D12,D,12,118307.6953125,119585,64836,93561.515625,121645.1953125,50406,292.985015938849,436.900024414062,356.399993896484,10795.2998046875,1
D13,D,13,107537.8046875,120777.3125,58352,52569.91796875,119704.7421875,28781,341.276094518187,1302.20007324219,137.279998779297,10577.2998046875,1
D14,D,14,85123.15625,103881.25,53702,57563.99609375,113428.3671875,33259,181.228001881529,413.100006103516,348.480010986328,10367.7998046875,1
D17,D,17,98409.078125,98630.3046875,65389,34954.3984375,95984.7265625,23866,7631.23629040875,981.75,1519.76000976562,51703.30078125,1
D18,D,18,118546.21875,123093.484375,63115,73120.3203125,117835.4296875,40667,180.320928652911,628.150024414062,465.519989013672,57242.5,1
D19,D,19,95173.9296875,110887.640625,56249,70221.8359375,118031.7578125,38990,157.474426744693,362.100006103516,733.919982910156,56989.1015625,1
D20,D,20,115386.71875,118699.4140625,63707,76908,112865.6796875,44657,213.778156404586,491.300018310547,492.799987792969,56774,1
D21,D,21,116056,116984.2265625,65016,60257.59765625,127590.125,30951,290.35794702068,334.050018310547,44,56560.8984375,1
D22,D,22,115973.2265625,118784.421875,63985,78612.5546875,117659.40625,43787,170.675493587935,353.600006103516,235.839996337891,58478.30078125,1
E01,E,01,101436.859375,122709.109375,54175,46895.6796875,115687.5390625,26566,697.831406660312,68,150.479995727539,13362,1
E02,E,02,100258.5,100640.8828125,65287,48365.19921875,111181.09375,28509,1389.50899961237,87.5500030517578,528.880004882812,13552.7001953125,1
E03,E,03,86485.75,97363.6953125,58214,60443.7578125,106111.3359375,37331,518.311769132143,65.4500045776367,87.120002746582,13744.7998046875,1
E04,E,04,79592.6953125,101403.3203125,51440,69150.640625,100849.1171875,44937,1398.31235003427,60.3500022888184,290.399993896484,13977.099609375,1
E05,E,05,90358.140625,98562.1328125,60081,32696.55859375,101376.8125,21137,3891.91602602223,2573.80004882812,1324.40002441406,14173.7001953125,1
E06,E,06,103675.2109375,104696.03125,64897,52952.63671875,108998.8046875,31838,3267.1219686184,2526.19995117188,841.279968261719,14373.400390625,1
E07,E,07,121799.171875,113566.25,70287,37047.91796875,112219.09375,21636,3699.34519868518,1388.90002441406,889.679992675781,14573.900390625,1
E08,E,08,99289.2890625,109810.203125,59257,43215.1171875,93021.9296875,30446,7681.15293854446,2916.35009765625,1721.28002929688,14767.7001953125,1
E09,E,09,117782.6015625,127510.90625,60536,67110.15625,123546.484375,35599,5279.05902618223,485.350006103516,1166.88000488281,15015.599609375,1
