FSC-A,FSC-W,FSC-H,SSC-A,SSC-W,SSC-H,PE-A,APC-Cy7-A,PE-Cy5-A,Time,IdxRow,IdxCol,Well
120780.1171875,116353.9921875,68029,88507.1171875,116861.1328125,49635,197.940727813927,470.900024414062,287.760009765625,33293.6015625,K,11,K11
97670.375,98282.2421875,65128,58687.19921875,113231.203125,33967,103.794311819854,362.950012207031,47.5200004577637,33522.6015625,K,12,K12
100678.578125,115869.4765625,56944,81320.71875,120395.6875,44266,310.574934516396,516.799987792969,149.600006103516,33734.8984375,K,13,K13
100081.390625,102782.0546875,63814,40134.63671875,102969.921875,25544,132.816132149776,507.450012207031,234.959991455078,33939.3984375,K,14,K14
130139.359375,125986.96875,67696,70550.4765625,127126.6484375,36370,146.905656045562,431.800018310547,263.119995117188,34127,L,14,L14
107485.296875,110271.7109375,63880,60752.63671875,111186.71875,35809,126.589901991776,1033.59997558594,253.440002441406,34314.8984375,L,13,L13
111494.75,105147.6484375,69492,54648.87890625,100080.171875,35786,253.396885670602,342.550018310547,177.759994506836,34590.30078125,L,12,L12
130188.3046875,118539.8046875,71976,90575.6796875,123485.90625,48070,243.698154573531,491.300018310547,426.799987792969,34783.80078125,L,11,L11
119025.9296875,120359.2578125,64810,78127.9140625,127969.5859375,40011,232.270562914893,392.700012207031,572,35015.3984375,L,10,L10
113629.859375,121676.53125,61202,46712.63671875,125183.375,24455,7164.86302844589,770.100036621094,1650.88000488281,35195.6015625,L,09,L09
95157.015625,102010.5390625,61133,27942.71875,93593.6796875,19566,7625.01446152821,1475.60009765625,1613.92004394531,35466.19921875,L,08,L08
128981.46875,118712.59375,71205,52379.59765625,122009.9296875,28135,4729.9424396467,457.300018310547,1335.83996582031,35786.69921875,L,07,L07
122893.8671875,118133.28125,68177,39616.71875,118737.828125,21866,7188.2361340225,3842,1705.43994140625,36007.80078125,L,06,L06
115533.5703125,111489.8203125,67913,34662.16015625,110283.484375,20598,5061.60077923107,1263.09997558594,1335.83996582031,36228,L,05,L05
92538.640625,99661.6796875,60852,52109.19921875,109130.7421875,31293,1195.90902402643,87.5500030517578,459.359985351562,36383.6015625,L,04,L04
94231.421875,93183.515625,66273,37931.91796875,106490.1484375,23344,1144.87626025031,29.75,79.1999969482422,36572.8984375,L,03,L03
99064.1171875,104350.421875,62216,56320.15625,107628.09375,34294,505.103839701919,128.350006103516,156.639999389648,36762.6015625,L,02,L02
97159.515625,98267.609375,64797,43762.16015625,100342.765625,28582,1839.19599256028,31.4500007629395,665.279968261719,36953.69921875,L,01,L01
101654.015625,104341.53125,63848,76337.0390625,118592.4921875,42185,639.747598982857,98.6000061035156,279.839996337891,37182.69921875,M,01,M01
105010.2109375,105694.0234375,65112,55825.1171875,99287.75,36848,278.955497895982,35.7000007629395,70.4000015258789,37373.6015625,M,02,M02
98476.71875,101110.3125,63829,63594.95703125,103428.6015625,40296,1987.92025792432,-1.70000004768372,625.679992675781,37605.19921875,M,03,M03
101413.71875,99793.5390625,66600,68286.3984375,98067.609375,45634,4820.63414530646,47.6000022888184,1419.43994140625,37793.8984375,M,04,M04
115458.8046875,118215.046875,64008,54218.31640625,121541.0234375,29235,4172.67708068106,2247.40014648438,731.279968261719,37963.69921875,M,05,M05
110171.3203125,109650.9765625,65847,55115.83984375,105891.703125,34111,3585.68202721215,2526.19995117188,1020.79998779297,38232.3984375,M,06,M06
127270.890625,123718.0703125,67418,85542.078125,121525.3359375,46131,6121.91921588678,1914.20007324219,1375.43994140625,38452.5,M,07,M07
120475.734375,121908.0625,64766,66433.1171875,117424.84375,37077,5480.57369623464,527.850036621094,1219.68005371094,38662.1015625,M,08,M08
109702.2890625,114132.734375,62992,40093.0390625,98742.4765625,26610,5682.80027558071,1904.85009765625,1539.11999511719,38886.69921875,M,09,M09
105967.8515625,108429.765625,64048,57167.7578125,117439.234375,31902,230.512708198057,375.700012207031,241.119995117188,39036.6015625,M,10,M10
